Russian,Occidental,Extra Info
северный|олень,renn • renne,"<B>R: </B>renn<BR>северный олень<BR>-о, -a"
обновлять,renovar • renova • renovat,обновлять
рента,renta,"<B>R: </B>rent|a<BR> рента<BR>-ar -se, -ero, -ario, -ari, -os, -abil, --itaреi'та"
перенумерация,renumerar • renumera • renumerat,"<B>R: </B>renumerar<BR><B><I>*</B></I> перенумерация<BR>-at, --ion"
отказываться,renunciar • renuncia • renunciat,"<B>R: </B>renuncia|r<BR>отказываться<BR>-at, --ion"
опрокидывать,renversar • renversa • renversat,<B>R: </B>renvers|ar<BR>опрокидывать
починять,reparar • repara • reparat,"<B>R: </B>repar|ar<BR>починять<BR>-at, --ion, --iv, --ur, in-abil"
отделять|обособлять,repartir • reparti • repartit,"отделять, обособлять"
еда|время|еды,repaste,"еда, время еды"
раскаиваться,repenter • repente • repentet,"<B>R: </B>repent|er<BR>раскаиваться<BR>-entie, -iv"
репертуар,repertorie,<B>R: </B>repertorie<BR> репертуар
повторять,repetir • repeti • repetit,"<B>R: </B>repet|ir<BR>повторять<BR>-it, --ion, --or, --orie"
повторение|репетиция,repetition,"повторение, репетиция"
возражать,replicar • replica • replicat,<B>R: </B>replic|ar<BR>возражать
покоиться|отдыхать,reposar • reposa • reposat,"<B>R: </B>repos|ar<BR>покоиться, отдыхать<BR>-, -uore"
переставить|переложить,reposir • reposi • reposit,"<B>R: </B>re|posi|r<BR>см. posir<BR>переставить, переложить<BR>-t, --ion, --or, ---ia (vi'd. posir)"
подавление,represalie,<B>R: </B>represali|e<BR> ? подавление
представитель,representante • representar,представитель
представлять,representar • representa • representat,"<B>R: </B>represent|ar<BR>представлять<BR>-at, -ion, -iv, -ant"
репрессировать,represser • represse • represset,"<B>R: </B>re|press|er<BR>репрессировать<BR>-iv, -ion, -ie"
порицание|выговор,reprimande,"порицание, выговор"
порицать|делать|выговор,reprimander • reprimande • reprimanda • reprimandet • reprimandat • reprimandar,"<B>N:</B> reprimander<BR><B>R: </B>reprimandar<BR>порицать, делать выговор"
упрекать,reprochar • reprocha • reprochat,<B>R: </B>reprocha|r<BR>упрекать
упрёк|укор,reproche,"упрёк, укор"
воспроизводить,reproducter • reproducte • reproductet,"<B>R: </B>reproduct|er<BR>воспроизводить<BR>-ion, -iv"
ползти,repter • repte • reptet,"<B>R: </B>rept|er<BR>ползти<BR>-ent, -iv, -ile"
республика,republica,"<B>R: </B>republic|a<BR> республика<BR>-an, -ism"
отклонять|отвергать,repudiar • repudia • repudiat,"отклонять, отвергать"
отпугивать|быть|противным|отвратительным|невыносимым,repugnar • repugnat • repugna,"<B>R: </B>repugn|ar<BR>отпугивать, быть противным, отвратительным, невыносимым<BR>-ant, --ie"
вытакивать,repulser • repulse • repulset,"<B>R: </B>re|puls|er<BR>вытакивать<BR>-ion, -iv, -on"
выталкивать,repussar • repussa • repussat,выталкивать
заркомендовать,reputar • reputa • reputat,<B>R: </B>reput|ar<BR>(репутация) заркомендовать (себя)<BR>-ation
репутация,reputation • reputatione,репутация
изымать|конфисковать|реквизировать,requisiter • requisite • requisitet,"<B>R: </B>re|quisit|er<BR>? изымать, конфисковать, реквизировать<BR>-ion, -ori"
рескрипт|предписание|дубликат|копия,rescript • rescripte,"<B>R: </B>rescript<BR>1) рескрипт; предписание 2) дубликат, копия.<BR>(rescrit)"
исследование,resercha,исследование
исследовать,reserchar • resercha • reserchat,исследовать
резерв,reserv • reserve,"<B>R: </B>reserv<BR>резерв<BR>-ar, -at, --ion, --iv, -uore"
проживать|жить,resider • reside • residet • resident,"<B>R: </B>resider<BR>проживать, жить (где-л.)<BR>-ent, --ia"
отказываться|смириться,resignar • resigna • resignat,"<B>R: </B>resigna|r<BR>отказываться, смириться<BR>-t, --ion"
смола,resine,"<B>R: </B>resin|e<BR> смола<BR>-os, -in"
противостоять|сопротивляться,resister • resiste • resistet,"<B>R: </B>resist|er<BR>противостоять, сопротивляться.<BR>-entie"
решать,resoluer • resolue • resoluet,"<B>R: </B>resolu|er<BR>решать<BR>-t, --ion"
резонировать,resonar • resona • resonat,"<B>R: </B>re|son|ar<BR>резонировать<BR>-antie, -ator"
почитать|уважать,respectar • respecta • respectat,"<B>R: </B>respect|ar<BR>почитать, уважать<BR>-abil, -os"
уважение|почтение,respecte,"уважение, почтение"
отражать,respegular • respegula • respegulat,отражать
дыхать|дышать,respirar • respira • respirat,"<B>R: </B>respir|ar<BR>(в)дыхать, дышать<BR>-at, --ion, --or, --iv"
отвечать,responder • responde • respondet,"<B>R: </B>respond|er<BR><B><I>s</B></I> отвечать<BR>-e, -ion, -iv, -ibil"
ответственный,responsabil • responsabile,ответственный
ответственность,responsabilita' • responsabilita • responsabilitб,ответственность
отвечать,responsar • responsa • responsat,отвечать (за что-л.)
ответ,response • responder,ответ
пружина|рессора,ressor • ressore,"<B>R: </B>ressor<BR>пружина, рессора<BR>-carrete, -coche"
продление|полномочий,ressort • ressorte,"<B>R: </B>ressort<BR>продление полномочий<BR>-ar= extension de juridiction, competentie"
ресурс,ressurce,ресурс
оставаться,restar • resta • restat,оставаться
реставрировать,restaurar • restaura • restaurat,"<B>R: </B>restaura|r<BR>реставрировать<BR>-nt, -tion, -eria, -t-or"
остаток,reste • rest,"<B>R: </B>rest<BR>остаток<BR>-ar, -age, -antie"
востанавливать,restituer • restitue • restituet,востанавливать
ресторан,restoration • restoratione,ресторан
ограничивать|сокращать,restricter • restricte • restrictet,"<B>R: </B>restrict|er<BR>ограничивать, сокращать"
последовать|происходить,resultar • resulta • resultat,"<B>R: </B>resulta|r<BR>последовать, происходить<BR>-t, -nte"
резюмировать|подытоживать,resumar • resuma • resumat,"резюмировать, подытоживать"
резюме,resume' • resume • resumй,резюме
итожить,resummar • resumma • resummat,<B>R: </B>re|summ|ar<BR>итожить<BR>-ation
воскрешать|оживлять|возобновлять,resurecter • resurecte • resurectet,"воскрешать, оживлять, возобновлять <A href='bword://reviventar'>reviventar</A>"
замедлять|отсрочить|отставить,retardar • retarda • retardat,"<B>R: </B>re|tard|ar<BR>замедлять, отсрочить, отставить."
сеть|сетка,rete,"<B>R: </B>rete<BR> сеть, сетка"
удерживать,retener • retene • retenet,удерживать
сетчатка|сетчатая|оболочка,retine • retina,"<B>R: </B>retin|e(-a)<BR>сетчатка, сетчатая оболочка (глаза)"
реторический,retor • retoric • retorica,"<B>R: </B>retor<BR>реторический<BR>-ic, -ica"
переворачивать|возвращать,retornar • retorna • retornat,"переворачивать, возвращать"
реторта,retorte,<B>R: </B>retorte<BR> реторта
назад,retro,<B>R: </B>retro<BR> назад
ретушировать,retuchar • retucha • retuchat,"<B>R: </B>retucha|r<BR>ретушировать<BR>-, -ist, -ero"
#VALUE!,reuma,"<B>R: </B>reuma<BR> (ревматизм)<BR>= rheuma {t}, -ic, -ism"
собрание,reunion • reunione,собрание
возмездие|реванш,revancha,"<B>R: </B>revanch|a<BR> возмездие, реванш<BR>-ar"
мечтать,revar • reva • revat,"<B>R: </B>rev|ar<BR>мечтать<BR>-, -aci, -os, -erie, -ero, -eri"
открывать|показывать,revelar • revela • revelat,"<B>R: </B>revel|ar<BR>открывать, показывать"
побудка,revellie,побудка
возвращаться|вернуться,revenir • reveni • revenit,"возвращаться, вернуться"
доход,revenu' • revenu • revenъ,<B>R: </B>revenu'<BR>доход
чтить|почитать|благоговеть,reverer • revere • reveret,"<B>R: </B>rever|er<BR>чтить, почитать, благоговеть<BR>-entie, -end"
задняя|сторона|обшлагъ,reverse • revers,"<B>R: </B>revers<BR>задняя сторона, обшлагъ.<BR>-al, iv"
встреча,revide,встреча (повторная)
проверять|исправлять,reviser • revise • reviset,"<B>R: </B>revis|er<BR>проверять; исправлять<BR>-ion, -ie, -or, -ori"
оживлять,reviventar • reviventa • reviventat,оживлять <A href='bword://resurecter'>resurecter</A>
отзывать,revocar • revoca • revocat,отзывать
восставать|бунтовать,revoltar • revolta • revoltart,"<B>R: </B>revolt|ar<BR>восставать, бунтовать"
революция,revolution • revolutione,"<B>R: </B>revolution<BR>революция<BR>-ero, -ario, -ari, -al, -ar"
революционный,revolutionari,революционный
обзор|обозрение,revu'e • revue • revъe,"<B>R: </B>revu'e<BR>обзор, обозрение."
король|царь,rey,"<B>R: </B>rey<BR> король, царь<BR>-er, -ent, -entie"
зубоскалить|надсмехаться,ricanar • ricana • ricanat,"зубоскалить, надсмехаться"
богатый,rich • richi,"<B>R: </B>rich<BR>богатый<BR>-esse, in-ar se, -ard, -on"
рикошет,ricochett • ricochette,<B>R: </B>ricochett<BR>рикошет<BR>-ar
смеяться,rider • ride • ridet,"<B>R: </B>rid|er<BR><B><I>s</B></I> смеяться<BR>-ion, -ibil, -or, de-, in-, per-, sub-"
смешной,ridicul • ridiculi,смешной
риф,riff • riffe,"<B>R: </B>riff<BR>риф<BR>-os, -ut, corall-"
твердый|негибкий|окоченелый,riger • rigeri,"<B>R: </B>rig|er<BR>твердый, негибкий, окоченелый<BR>-or, --os, --ism, -id, --ita', --ess = esser rigid"
жессткий|твердый|тугой,rigid • rigidi,"жессткий, твердый, тугой"
рифма|стих,rim • rime,"<B>R: </B>rim<BR>рифма, стих<BR>-ar, -astro, -ard, -ero, -erie, -age, -agie"
наложенный|платеж,rimborse • rimborsa,<B>R: </B>rimbors|a<BR>наложенный платеж<BR>-ar
пересылка|денег,rimesse,<B>R: </B>rimess|e<BR> пересылка денег<BR>(comerc.)
полоскать,rinsar • rinsa • rinsat,"<B>R: </B>rins|ar<BR>полоскать<BR>-uore, -al'a, -ura, -age"
рис,ris • rise,<B>R: </B>ris<BR>рис<BR>-iera
риск,risc,"<B>R: </B>risc<BR> риск<BR>-ar, -ant, -os"
рисковать,riscar • risca • riscat,рисковать
смешной,risibil,смешной
смех,rision • risione,смех
ритмичный,ritmatri,ритмичный
ритм,ritme • ritm,ритм
ритмичный|ритмический,ritmic,"ритмичный, ритмический"
обряд,ritu,"<B>R: </B>ritu<BR> обряд<BR>-al, -ale"
соперник,rival • rivale,"<B>R: </B>rival<BR>соперник<BR>-izar, -ar, -ita'"
берег|прибрежье,rive,"<B>R: </B>riv|e<BR> берег, прибрежье"
река|речка|ручей,rivere • river,"<B>R: </B>river<BR>река, речка, ручей"
заклепка,rivete • rivet,<B>R: </B>rivet<BR>заклепка<BR>-ar
драка,rixe,драка
платье,robe,<B>R: </B>rob|e<BR> платье (длинное)<BR>garde-
кран,robinete,кран
робот,robote • robot,робот
коренастый,robust • robusti,<B>R: </B>robust<BR>коренастый
утесъ|скала,rocca • rocc,"<B>R: </B>rocc<BR>утесъ, скала<BR>-osi, -atr, -age, -al'a"
рококо,rococo,<B>R: </B>rococo<BR> рококо
грызть,roder • rode • rodet,"<B>R: </B>rod|er<BR><B><I>s</B></I> грызть<BR>-ent, -on, -or, e -r, --{s}ion, --iv, со -ion"
роль,role • rol,<B>R: </B>rol<BR>роль<BR>(teatral)
роман,roman • romane,"<B>R: </B>roman<BR>роман<BR>-atr, -ic, -al, -esc"
ромб,rombe • romb,ромб
храпеть|хрипеть,roncar • ronca • roncat,"<B>R: </B>ronca|r<BR>храпеть, хрипеть<BR>-nt, -tor, -ment, -da"
круглый,rond • rondi,"<B>R: </B>rond<BR>круглый<BR>-ore, -esse, -el, a-ar"
мурлыкать,ronronar • ronrona • ronronat,мурлыкать
шиповник,ros-bere • rosi-fructe,шиповник
розарий,rosarium,розарий
роза,rose,"<B>R: </B>rose<BR> роза<BR>-ette, -iero, -eria, -arium"
роса,rose' • rose • rosй,"<B>R: </B>rose'<BR>роса<BR>-os, -at"
изюм,rosin • rosine,<B>R: </B>rosin<BR>изюм
жаба,rospe,жаба
рыжий,ross • rossi,"<B>R: </B>ross<BR>рыжий<BR>-ore, -ita', -ar"
колосниковая|решетка|рашпер|барбикю,rost • roste,"<B>R: </B>rost<BR>колосниковая решетка, рашпер, барбикю<BR>-ar"
жарить|поджаривать,rostar,"жарить, поджаривать"
#VALUE!,rotar,"rotaci/i,-o"
колесо,rote • rot,"<B>R: </B>rot<BR>колесо<BR>-ar, -ation, -age"
круглый|сферический|шаровой,rotunde,"<B>R: </B>rotunde<BR> круглый, сферический, шаровой"
грабить,roubar • rouba • roubat,"<B>R: </B>roub|ar<BR>грабить<BR>-ero, -act"
ревень,rubarbe,ревень
красный,rubi,"<B>R: </B>rubi<BR> красный<BR>-in, -ar"
краснота|покраснение,rubore,"краснота, покраснение"
рубрика,rubrica,"<B>R: </B>rubrica<BR> рубрика<BR>-r, -tion"
рыгать|отрыгивать,ructar • ructa • ructat,"рыгать, отрыгивать"
ворковать,rucular • rucula • ruculat,ворковать
грубый,rud • rudi,<B>R: </B>rud<BR>грубый
рудимент,rudiment • rudimente,"<B>R: </B>rudiment<BR>рудимент<BR>-al, -ari"
морщина,ruga • rug,"<B>R: </B>rug<BR>морщина<BR>-ar, -at, -os"
реветь|кричать,rugir • rugi • rugit,"реветь, кричать"
руины,ruin • ruine,"<B>R: </B>ruin<BR>руины<BR>-ar, -osi, -ant"
разрушать,ruinar • ruina • ruinat • ruinant,разрушать
разрушать,ruir • rui • ruit,разрушать
каток|катушка,rul • rule,"<B>R: </B>rul<BR>каток, катушка<BR>-ar, -agie, -eria, -age, -ette, in -ar, de -ar, con -ar, dis -ar, sub -ar"
ром,rum,<B>R: </B>rum<BR> ром<BR>= Rhum
жевать|жвачку,ruminar • rumina • ruminat,<B>R: </B>rumin|ar<BR><B><I>*</B></I> жевать жвачку<BR>= remachar
ломать|рвать,rupter • rupte • ruptet,"<B>R: </B>rupt|er<BR>ломать, рвать<BR>-ura, -iv, -ion, co-er, --ibil, --ion, e-er, --iv, in-er, inter-er"
деревня|провинция,rure,"<B>R: </B>rur|e<BR><I><B>*</B></I> деревня, провинция<BR>-al, -ano, --atr contrari a „cite'"""
невежливый|невоспитанный|неучтивый|грубый,rustic,"<B>R: </B>rustic<BR><I><B>*</B></I> невежливый, невоспитанный, неучтивый, грубый<BR>-о, -al'a, -acho"
путь|ристалище,rute • rut,"<B>R: </B>rut<BR>путь, ристалище<BR>rel-rut, (-ine)"
рутина,rutine,<B>R: </B>rutin|e<BR> рутина
ритм,rytme,<B>R: </B>rytm|e<BR> ритм<BR>-ic = rythme
еврейская|суббота,sabat,<B>R: </B>sabat<BR> еврейская суббота<BR>7-sim die de Hebreos
сабля,sabre,"<B>R: </B>sabr|e<BR> сабля<BR>-ar, -ero, -on."
мешок,sac,<B>R: </B>sac<BR> мешок
жертва,sacrficie,жертва
священный,sacri,"<B>R: </B>sacr|i<BR> священный<BR>-ar, at, -ament, -al, -ificar, --ation, --ie, -ilegie, -ist-ia, --an, -osant, con-ar, in-ar, des-ar."
жертвовать,sacrificiar • sacrificia • sacrificiat,жертвовать
кошунство|святотатство,sacrilegie,"кошунство, святотатство"
шафран,safran • safrane,<B>R: </B>safran<BR>шафран
остроумный|проницательный,sagaci,"<B>R: </B>sagac|i<BR> остроумный, проницательный"
мудрый|благоразумный,sagi,"<B>R: </B>sag|i<BR> мудрый, благоразумный<BR>-o, -ta, -ess."
саго,sago,"<B>R: </B>sago<BR> саго<BR>-palme, -fruct"
залла|холл,sala,"<B>R: </B>sala<BR> залла, холл"
салат,salade,салат
саламандра,salamandre,"<B>R: </B>salamandr|e<BR> саламандра<BR>-o, -a."
солить,salar • sala • salat,солить
жалование|заработок,salarie,"<B>R: </B>salari|e<BR> жалование, заработок<BR>-ar."
сольдо,saldo,"<B>R: </B>sald|o<BR> сольдо<BR>-ar = differentie inter ""debet"" e ""credit"" del conto."
соль,sale • sal,"<B>R: </B>sal<BR>соль<BR>-ar, in-ar, -at, --ura, -ade, --iere, -age, -agie, -iere, -ero, -eria, -in, -osi, -ina, -iera."
ива,salice,<B>R: </B>salic|e<BR> ива
выдающийся|бросающийся|в|глаза,salient • salienti,"выдающийся, бросающийся в глаза"
слюна,salive • saliva,<B>R: </B>saliv|a<BR>слюна
лосось,salmon • salmone,<B>R: </B>salmon<BR>лосось
салон,salon • salone,<B>R: </B>salon<BR>салон
неряшливый,salop • salopi,<B>R: </B>salop<BR>неряшливый
селитра,salpetre,<B>R: </B>salpetr|e<BR> селитра<BR>-iera.
сосиска|колбаса,salsice,"сосиска, колбаса"
скачек|сальто,salta,"скачек, сальто"
прыгать|скакть,saltar • salta • saltat,"<B>R: </B>salt|ar<BR>прыгать, скакть<BR>-illar, -ear."
здоровый,salubri,<B>R: </B>salubr|i<BR><I><B>*</B></I> здоровый<BR>= util a sanita.
приветствовать|салютовать,salutar • saluta • salutat,"<B>R: </B>salut|ar<BR>приветствовать, салютовать"
невредимый,salv • salvi,<B>R: </B>salv<BR>невредимый
#VALUE!,salve,salvo
спасать,salver • salve • salvet,спасать
самый|одинаковый,sam,"<B>R: </B>sam<BR> самый, одинаковый"
самовар,samovar,<B>R: </B>samovar<BR> самовар
святой,san,"<B>R: </B>san<BR> святой<BR>-ar, -at-oria, -ta, in-, --ie"
санкция,sanction • sanctione,<B>R: </B>sanction<BR>санкция<BR>-ar
песок,sand • sande,"<B>R: </B>sand<BR>песок<BR>-i, -os, -ut, in -at, in-ar se, -iere, -irea, -banca, -bux, -petre, -atri."
сандалия,sandale,<B>R: </B>sandal|e<BR> сандалия<BR>-ia
кровь,sangue,"<B>R: </B>sangu|e<BR> кровь<BR>-ar, -ear, -in, --ic, --ari, -isuc, --ar."
пьявка|кровосос,sanguisuc,"пьявка, кровосос"
святой,sant,"<B>R: </B>sant<BR> святой<BR>-ita', -ess, -ificar, --tion."
башмак,sapate,"<B>R: </B>sapat|e<BR> башмак<BR>-ero, -eria."
вкушать|пробовать,saper • sape • sapet,"вкушать, пробовать"
вкусный,sapid,вкусный <A href='bword://saporosi'>saporosi</A>
разумный,sapient • sapienti,<B>R: </B>sapient<BR><B><I>*</B></I> разумный<BR>-ie. vide sagi.
мыло|мыльная|пена,sapon • sapone,"<B>R: </B>sapon<BR>мыло<BR>-ero, -eria, -osi, -atr, -ic, in-ar, per-at.<HR><B>sapon-lixive</B> мыльная пена"
вкус,sapor,вкус
вкусный,saporosi,вкусный
окоп|траншея,sappe,"<B>R: </B>sapp|e<BR> окоп, траншея<BR>-ar, -ero."
сарказм,sarcasm • sarcasme,"<B>R: </B>sarc|asm<BR>~asm сарказм<BR>-ast, --ic"
полоть,sarclar • sarcla • sarclat,<B>R: </B>sarcl|ar<BR>полоть<BR>-uore
гроб,sarco • sarc,<B>R: </B>sarc<BR><B><I>*</B></I> гроб<BR>-ophag
сытый|достаточно,sat,"<B>R: </B>sat<BR> сытый, достаточно<BR>vide satur"
сатана,satan • satane,<B>R: </B>satan<BR>сатана<BR>-ic
сатира,satire,<B>R: </B>satir|e<BR> сатира<BR>-ic = satyre
удовлетворять,satisfar • satisfat • satisfa,"<B>R: </B>satisfa|r<BR><B><I>*</B></I> удовлетворять<BR>-tion, tori, -tiv."
сытый,satur,"<B>R: </B>satur<BR> сытый<BR>-ar, -at, -ita', -ess."
суббота,saturdi • saturdi' • saturdн,<B>R: </B>saturdi<BR>суббота
сатир,satyr,<B>R: </B>satyr<BR> сатир<BR>myth.
соус,sauce,<B>R: </B>sauc|e<BR> соус<BR>-iere
сосиска|колбаса,sauciss,"<B>R: </B>saucis|s<BR> сосиска, колбаса<BR>-ett, -ero, -eria."
дикий,savagi,"<B>R: </B>savagi<BR> дикий<BR>-ta, -erie, -ine, -on, -ard."
знание,saventie,знание
знать|уметь,saver • far • save • savet,<B>R: </B>sav|er<BR>знать<BR>-entie.<HR><B>sver far</B> уметь
вкушать,savurar • savura • savurat,<B>R: </B>savura|r<BR>вкушать
вкусный,savurosi,вкусный
скамейка,scabelle • scabell,<B>R: </B>scabell<BR>скамейка
парша|чесотка,scabie,"<B>R: </B>scabi|e<BR> парша, чесотка<BR>-os,"
шкаф,scaf • scafe,<B>R: </B>scaf<BR>шкаф<BR>-eria
леса|подмостки,scafalde,"леса (строит.), подмостки"
эшафот?,scafote,<B>R: </B>scafot|e<BR> эшафот?<BR>-age.
лестница,scale,"<B>R: </B>scal|e<BR> лестница<BR>-iere, -un."
лестница,scaliere,лестница
скальп,scalp • scalpe,"<B>R: </B>scalp<BR>скальп<BR>-ar, -el"
скандал,scandal • scandale,"<B>R: </B>scandal<BR>скандал<BR>-ar, -isar, -os."
жук|скарабей,scarabe' • scarabe • scarabй,<B>R: </B>scarabe<BR>жук скарабей
ярко-алый,scarlat • scarlati,"<B>R: </B>scarlat<BR>ярко-алый<BR>-ine, -itis, -inos."
склон|скат,scarp • scarpe,"<B>R: </B>scarp<BR>склон, скат<BR>-ar, -at."
обрывистый|крутой|отвесный,scarpat,"обрывистый, крутой, отвесный"
шкатулка,scatull • scatulle,<B>R: </B>scatull<BR>шкатулка
сцена,scen • scene,"<B>R: </B>scen<BR>сцена<BR>-ic, in-ar, --ation."
двигать,scender • scende • scendet,"<B>R: </B>scend|er<BR><B><I>s</B></I> двигать (вверх или вниз)<BR>a-, de- marca li move ad supre o ad basse."
скептик,sceptic • sceptico,"<B>R: </B>sceptic<BR>скептик<BR>-a, -ism"
скипетр?,sceptre,<B>R: </B>sceptr|e<BR> скипетр?
сланец|аспид,schist • schiste,"<B>R: </B>schist<BR>сланец, аспид"
схоласт,scholast • scolast • scolaste • scholaste,"<B>R: </B>sc(h)olast<BR>схоласт<BR>-ic, -ica, --ism."
научный,scientic,научный
наука,scientie,<B>R: </B>scienti|e<BR> наука<BR>-ar
искра,scintille,<B>R: </B>scintill|e<BR> искра<BR>-ar.
раб,sclavo • sclave,"<B>R: </B>sclav|o<BR>раб<BR>-ita', -erie, -age, -ic, -atr, in-ar."
шлюз,scluse,"<B>R: </B>sclus|e<BR> шлюз<BR>-ero, -mastro."
школьное,scola,школьное (место)
школбный,scolari,школбный
школа,scole,"<B>R: </B>scol|e<BR> школа<BR>-ari, -ero, con-ero."
школьник|ученик|школяр,scolero • scolera,"школьник, ученик, школяр"
цель,scope,<B>R: </B>scop|e<BR> цель
цынга,scorbut • scorbute,<B>R: </B>scorbut<BR>цынга
шлаки|выгорки,scorie,"<B>R: </B>scori|e<BR> шлаки, выгорки<BR>-ficar, --tion."
скорпион,scorpion • scorpione,<B>R: </B>scorpion<BR>скорпион
шкот,scote,<B>R: </B>scot|e<BR> шкот<BR>mar.
скаут|разведчик,scout • scoute,"<B>R: </B>scout<BR>скаут, разведчик"
скркести|скоблить,scrapar • scrapa • scrapat,"<B>R: </B>scrap|ar<BR>скркести, скоблить<BR>-el, -uore, -al'a, -ura."
см,scrappar • scrappa • scrappat,см. <A href='bword://scrapar'>scrapar</A>
экран,scren • screne,<B>R: </B>scren<BR>экран
писать,scrir • scri • scrit,"<B>R: </B>scri|r<BR>писать<BR>-t, --iv, --ion, --or, ---ia, --uore, --ur, con-, in-, pre-, sub-, trans-."
золотуха,scro'ful • scroful • scrуful • scrofule • scrуfule • scro'fule,"<B>R: </B>scro'ful<BR>золотуха<BR>-os, --e."
тщательный|скрупулёзный,scrupul • scrupuli,"тщательный, скрупулёзный"
винт,scruv • scruve,"<B>R: </B>scruv<BR>винт<BR>-ar, -ere, -uore, ad-ar, de-ar, in-ar, -eria, -iere."
щит,scude • scud,<B>R: </B>scud<BR>щит<BR>-ero
блюдо,scudelle,блюдо
ваять,sculpter • sculpte • sculptet,"<B>R: </B>sculpt|er<BR>ваять<BR>-or, -ura."
пена,scum • scume,"<B>R: </B>scum<BR>пена<BR>-ar, -ant, -osi, -i."
скунс,scunc,<B>R: </B>scunc<BR> скунс
шхуна,scune,<B>R: </B>scun|e<BR> шхуна<BR>-brigg.
белка,scurel • scurele,белка
возвр|част,se,<B>R: </B>se<BR> возвр. част. «-ся»
столетие,se'cul • secul • sйcul,<B>R: </B>secul<BR>столетие<BR>-ari.
сало,sebe,"<B>R: </B>seb|e<BR> сало<BR>-al, -ic, -i, -osi, -atr, -in, in-ar."
рожь,secale,<B>R: </B>secal|e<BR> рожь
уединяться,secluder • seclude • secludet • seclusion,secluDer (-sion) уединяться
секунда,seconde,<B>R: </B>second|e<BR> секунда<BR>=1/60 minut
выделять,secreer • secree • secreet,"<B>R: </B>se|cre|er<BR>выделять<BR>-te, -tion, -tiv, -ment."
секретный,secret • secreti,"<B>R: </B>secret<BR>секретный<BR>-e, -ario."
секта,secta,"<B>R: </B>sect|a<BR> секта<BR>-an(t), -ario. *(secter) -ion, -or, pro-or, in-er, dis-er syn. ciser, divider"
рассекать|делить,secter • secte • sectet,"рассекать, делить"
следовать,secuer • secue • secuet,"<B>R: </B>secu|er<BR>следовать<BR>-ent, --ie, -tor, --ia, con-er, --entie, con-tiv."
согласно|сообразно|с|по,secun,"<B>N: </B>согласно, сообразно с, по"
второй,secund • secundi,"<B>R: </B>secund<BR>второй<BR>= duesim, -ari, -ar, -ant"
безопасный|надежный|достоверный,secur,"<B>R: </B>secur<BR> безопасный, надежный, достоверный<BR>-ita', as-ar, --antie, --ation."
сидение,sede,сидение (предмет)
садиться,sedentar • sedenta • sedentat • sedentant,садиться
сидеть,seder • sede • sedet,"<B>R: </B>sed|er<BR><B><I>ss</B></I> сидеть<BR>-ie, -{ss}ion, -entar, ob-er, pos-er."
осдок|отложение,sediment • sedimente,"<B>R: </B>sediment<BR><B><I>*</B></I> осдок, отложение"
седло,sedle,"<B>R: </B>sedl|e<BR> седло<BR>-ar, de-ar, -at, -ero, -eria, -ator, -ari."
обольщать|соблазнять,seducter • seducte • seductet,"<B>R: </B>se|duct|er<BR>обольщать, соблазнять<BR>-ion, -or, -iv."
пила,sega • seg,"<B>R: </B>seg<BR>пила<BR>-ar, -eria."
парус,segle,"<B>R: </B>segl|e<BR> парус<BR>-ar, -ero, -eria, -ator, -onave, -age, -uore."
сегмент,segment • segmente,<B>R: </B>segment<BR><B><I>*</B></I> сегмент<BR>-ar.
согласно|сообразно|с|по,segun,"<B>R: </B>segun<BR> согласно, сообразно с, по"
гостить|жить|проживать,sejornar • sejorna • sejornat,"гостить, (временно) жить, проживать"
проживание,sejorne,проживание
подбирать,selecter • selecte • selectet,"<B>R: </B>se|lect|er<BR><B><I>*</B></I> подбирать<BR>-ion, -iv."
сам,self,<B>R: </B>self<BR> сам
неделя,semane • seman,<B>R: </B>seman<BR>неделя<BR>-al.
казаться|кажется|представляется|кажущийся,semblar • sembla • semblat • semblant,"<B>N:</B> казаться<BR><B>it sembla </B>кажется, представляется<BR><B>semblant</B> кажущийся"
семя,seme,"<B>R: </B>sem|e<BR> семя<BR>-ar, -ero, -erie, dis-ar"
семестр,semestre,<B>R: </B>semestr|e<BR> семестр<BR>-al
полу-,semi-,<B>R: </B>semi-<BR><I><B>*</B></I> полу-<BR>Grec = demi
точка|с|запятой,semi-colon • semicolon • semi • colon,<B>R: </B>semi-colon<BR>точка с запятой<BR>= ;
семинария|семинар,seminare,"<B>R: </B>seminar|e<BR> семинария, семинар<BR>-ist."
семит,semit • semite,<B>R: </B>semit<BR>семит<BR>-ic.
всегда,sempre,<B>R: </B>sempr|e<BR> всегда
господин,senior • seniore,"<B>R: </B>senior<BR>господин<BR>-ie, -ia, -agie, -aty, -ear, -a, -essa, -in'a, -etta."
госпожа|леди,seniora,"(sra). госпожа, леди"
мисс,seniroetta,мисс
чусвтво,sense • sens,"<B>R: </B>sens<BR>чусвтво<BR>-ibil, -u, --al, -itiv, -ori. Vide sentir."
чувствительный,sensibil,чувствительный
чувство,sensu,чувство
ощущение,sente,ощущение
изречение|суждение|приговор,sententie,"<B>R: </B>sententi|e<BR> изречение, суждение, приговор<BR>-ar."
часовой,sentinell • sentinelle,<B>R: </B>sentinell<BR>часовой
чувствовать,sentir • senti • sentit,"<B>R: </B>sent|ir<BR><B><I>s</B></I> чувствовать<BR>ad-, con, dis-, pre-, -iment, --al, ---ita'."
